ppap_id,supplier_id,component,submission_level,submission_date,approval_date,cycle_days,status,trigger
PPAP-2024-0171,SUP015,Fuel pump module,Level 3,2024-09-05,2024-09-21,16,Interim Approved,Re-qualification
PPAP-2024-0172,SUP006,Wiper arm,Level 3,2024-09-05,2024-10-05,30,Approved,Engineering change
PPAP-2024-0173,SUP010,Fuel pump module,Level 3,2024-09-05,2024-09-29,24,Interim Approved,Engineering change
PPAP-2024-0174,SUP003,Cooling pump,Level 3,2024-09-07,2024-09-21,14,Approved,Engineering change
PPAP-2024-0175,SUP010,ECU housing,Level 3,2024-09-08,2024-10-21,43,Approved,Re-qualification
PPAP-2024-0176,SUP012,ECU housing,Level 3,2024-09-09,2024-10-09,30,Interim Approved,Engineering change
PPAP-2024-0177,SUP013,Connector bracket,Level 3,2024-09-10,2024-09-25,15,Approved,New launch
PPAP-2024-0178,SUP005,ECU housing,Level 3,2024-09-11,2024-10-26,45,Approved,Engineering change
PPAP-2024-0179,SUP008,Window lift actuator,Level 3,2024-09-11,2024-10-21,40,Rejected,Engineering change
PPAP-2024-0180,SUP004,Electric seat actuator,Level 3,2024-09-12,2024-11-15,64,Approved,New launch
PPAP-2024-0181,SUP013,Control lever,Level 1,2024-09-13,2024-09-22,9,Approved,New launch
PPAP-2024-0182,SUP007,ECU housing,Level 3,2024-09-15,2024-09-28,13,Interim Approved,Re-qualification
PPAP-2024-0183,SUP011,Fan shroud,Level 3,2024-09-16,2024-10-07,21,Approved,New launch
PPAP-2024-0184,SUP008,Connector bracket,Level 1,2024-09-18,2024-11-06,49,Rejected,Tooling transfer
PPAP-2024-0185,SUP005,Engine fan,Level 3,2024-09-18,2024-10-19,31,Approved,New launch
PPAP-2024-0186,SUP010,Cooling pump,Level 5,2024-09-20,2024-11-01,42,Approved,Engineering change
PPAP-2024-0187,SUP009,Cooling pump,Level 3,2024-09-21,2024-10-23,32,Approved,Tooling transfer
PPAP-2024-0188,SUP013,Connector bracket,Level 3,2024-09-22,2024-10-03,11,Approved,Engineering change
PPAP-2024-0189,SUP006,Engine fan,Level 3,2024-09-22,2024-10-30,38,Interim Approved,New launch
PPAP-2024-0190,SUP002,Cooling pump,Level 3,2024-09-23,2024-11-06,44,Approved,Engineering change
PPAP-2024-0191,SUP013,Fuel pump module,Level 3,2024-09-25,2024-10-05,10,Interim Approved,Re-qualification
PPAP-2024-0192,SUP015,Connector bracket,Level 1,2024-09-26,2024-11-04,39,Interim Approved,Tooling transfer
PPAP-2024-0193,SUP013,Cooling pump,Level 1,2024-09-29,2024-10-12,13,Approved,New launch
PPAP-2024-0194,SUP015,ECU housing,Level 3,2024-09-30,2024-11-05,36,Approved,Re-qualification
PPAP-2024-0195,SUP004,Engine fan,Level 3,2024-09-30,2024-11-15,46,Approved,New launch
PPAP-2024-0196,SUP014,Control lever,Level 3,2024-09-30,2024-10-25,25,Approved,New launch
PPAP-2024-0197,SUP007,Wiper arm,Level 5,2024-10-02,2024-10-08,6,Approved,Tooling transfer
PPAP-2024-0198,SUP012,Control lever,Level 5,2024-10-03,2024-10-19,16,Approved,Engineering change
PPAP-2024-0199,SUP002,Window lift actuator,Level 3,2024-10-05,2024-11-08,34,Approved,Tooling transfer
PPAP-2024-0200,SUP011,ECU housing,Level 3,2024-10-05,2024-10-28,23,Approved,New launch
PPAP-2024-0201,SUP014,Wiper arm,Level 3,2024-10-06,2024-10-18,12,Approved,Re-qualification
PPAP-2024-0202,SUP001,Electric seat actuator,Level 3,2024-10-07,2024-10-27,20,Approved,New launch
PPAP-2024-0203,SUP010,ECU housing,Level 1,2024-10-08,2024-11-12,35,Interim Approved,Engineering change
PPAP-2024-0204,SUP015,Fan shroud,Level 1,2024-10-09,2024-10-24,15,Approved,New launch
PPAP-2024-0205,SUP003,Electric seat actuator,Level 3,2024-10-09,2024-10-25,16,Approved,Tooling transfer
PPAP-2024-0206,SUP004,Electric seat actuator,Level 3,2024-10-09,2024-11-22,44,Rejected,Engineering change
PPAP-2024-0207,SUP003,Engine fan,Level 5,2024-10-10,2024-10-24,14,Approved,Tooling transfer
PPAP-2024-0208,SUP010,Electric seat actuator,Level 5,2024-10-11,2024-11-07,27,Approved,New launch
PPAP-2024-0209,SUP005,Connector bracket,Level 1,2024-10-14,2024-11-01,18,Approved,Re-qualification
PPAP-2024-0210,SUP015,Window lift actuator,Level 3,2024-10-15,2024-11-12,28,Rejected,Engineering change
PPAP-2024-0211,SUP012,Engine fan,Level 3,2024-10-16,2024-11-18,33,Rejected,New launch
PPAP-2024-0212,SUP008,Fuel pump module,Level 5,2024-10-17,2024-11-12,26,Approved,Engineering change
PPAP-2024-0213,SUP009,Control lever,Level 5,2024-10-18,2024-12-06,49,Rejected,New launch
PPAP-2024-0214,SUP014,Wiper arm,Level 5,2024-10-19,2024-11-06,18,Approved,Tooling transfer
PPAP-2024-0215,SUP007,Wiper arm,Level 3,2024-10-21,2024-10-26,5,Approved,Engineering change
PPAP-2024-0216,SUP003,Cooling pump,Level 3,2024-10-21,2024-11-07,17,Approved,Engineering change
PPAP-2024-0217,SUP003,Connector bracket,Level 1,2024-10-22,2024-11-09,18,Approved,New launch
PPAP-2024-0218,SUP005,Connector bracket,Level 5,2024-10-25,2024-11-30,36,Approved,Tooling transfer
PPAP-2024-0219,SUP001,Fuel pump module,Level 1,2024-10-25,2024-11-10,16,Approved,New launch
PPAP-2024-0220,SUP003,Fan shroud,Level 3,2024-10-29,2024-11-11,13,Approved,New launch
PPAP-2024-0221,SUP008,Control lever,Level 5,2024-11-01,2025-01-11,71,Rejected,New launch
PPAP-2024-0222,SUP002,Electric seat actuator,Level 5,2024-11-02,2024-12-20,48,Approved,Engineering change
PPAP-2024-0223,SUP005,Wiper arm,Level 3,2024-11-11,2024-12-09,28,Approved,Engineering change
PPAP-2024-0224,SUP003,ECU housing,Level 3,2024-11-15,2024-11-30,15,Approved,New launch
PPAP-2024-0225,SUP011,Connector bracket,Level 3,2024-11-16,2024-11-27,11,Approved,Engineering change
PPAP-2024-0226,SUP001,Fan shroud,Level 3,2024-11-19,2024-12-04,15,Rejected,Engineering change
PPAP-2024-0227,SUP014,Engine fan,Level 3,2024-11-19,2024-12-06,17,Approved,Engineering change
PPAP-2024-0228,SUP010,Electric seat actuator,Level 5,2024-11-19,2025-01-19,61,Approved,Engineering change
PPAP-2024-0229,SUP011,Electric seat actuator,Level 3,2024-11-19,2024-12-08,19,Approved,Engineering change
PPAP-2024-0230,SUP007,ECU housing,Level 3,2024-11-20,2024-12-27,37,Approved,Engineering change
PPAP-2024-0231,SUP012,ECU housing,Level 3,2024-11-22,2024-12-11,19,Approved,Re-qualification
PPAP-2024-0232,SUP006,Fan shroud,Level 3,2024-11-23,2024-12-13,20,Approved,Engineering change
PPAP-2024-0233,SUP006,Window lift actuator,Level 3,2024-11-25,2025-01-11,47,Interim Approved,Re-qualification
PPAP-2024-0234,SUP011,Fuel pump module,Level 1,2024-11-25,2024-12-23,28,Rejected,New launch
PPAP-2024-0235,SUP006,Fuel pump module,Level 3,2024-11-26,2025-01-05,40,Rejected,Engineering change
PPAP-2024-0236,SUP013,Window lift actuator,Level 1,2024-11-30,2024-12-15,15,Approved,New launch
PPAP-2024-0237,SUP004,Cooling pump,Level 3,2024-12-01,2025-01-06,36,Interim Approved,New launch
PPAP-2024-0238,SUP007,Engine fan,Level 3,2024-12-02,2024-12-26,24,Interim Approved,Engineering change
PPAP-2024-0239,SUP007,Control lever,Level 1,2024-12-05,2024-12-22,17,Approved,Engineering change
PPAP-2024-0240,SUP006,Cooling pump,Level 3,2024-12-07,2024-12-18,11,Interim Approved,New launch
PPAP-2024-0241,SUP006,Window lift actuator,Level 3,2024-12-13,2025-01-22,40,Approved,New launch
PPAP-2024-0242,SUP009,Wiper arm,Level 3,2024-12-16,2025-01-14,29,Approved,Re-qualification
PPAP-2024-0243,SUP010,Connector bracket,Level 5,2024-12-22,2024-12-27,5,Rejected,Re-qualification
PPAP-2024-0244,SUP006,Engine fan,Level 3,2024-12-24,2025-02-09,47,Approved,Engineering change
PPAP-2024-0245,SUP008,Engine fan,Level 3,2024-12-26,2025-02-09,45,Interim Approved,New launch
PPAP-2024-0246,SUP011,Fuel pump module,Level 5,2024-12-26,2025-01-15,20,Interim Approved,Re-qualification
PPAP-2024-0247,SUP002,Control lever,Level 3,2024-12-27,2025-01-31,35,Approved,Engineering change
PPAP-2024-0248,SUP010,Connector bracket,Level 3,2024-12-28,2025-01-11,14,Interim Approved,New launch
PPAP-2024-0249,SUP004,Window lift actuator,Level 3,2024-12-29,2025-01-26,28,Rejected,Re-qualification
PPAP-2025-0250,SUP001,ECU housing,Level 3,2025-01-01,2025-01-14,13,Approved,New launch
PPAP-2025-0251,SUP014,Connector bracket,Level 3,2025-01-02,2025-01-18,16,Approved,New launch
PPAP-2025-0252,SUP015,Fuel pump module,Level 3,2025-01-02,2025-01-22,20,Approved,Engineering change
PPAP-2025-0253,SUP011,Fuel pump module,Level 3,2025-01-02,2025-01-17,15,Interim Approved,Re-qualification
PPAP-2025-0254,SUP013,Fuel pump module,Level 5,2025-01-03,2025-01-14,11,Approved,New launch
PPAP-2025-0255,SUP004,Fuel pump module,Level 1,2025-01-03,2025-02-06,34,Rejected,Engineering change
PPAP-2025-0256,SUP006,Wiper arm,Level 1,2025-01-04,2025-01-12,8,Approved,Engineering change
